"URL","Game","Studio"
"https://demo.firstlookgames.com/?xpid=4092&gid=67904","Domnitor's Treasure","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67902","Potion Spells","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67900","Sweet Rush Megaways","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67898","Lucky Oak","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67896","Book of Kemet","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67894","Easter Plinko","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67892","Easter Heist","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67890","Alien Fruits","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67888","Royal High-Road","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67886","Lucky Crew","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67884","Savage Buffalo Spirit","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67882","Limbo XY","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67880","Gemhalla","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67876","Beast Band","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67870","Dice Million","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67866","Wild Cash Dice","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67864","Maneki 88 Fortunes","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67862","Bone Bonanza","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67860","Mice & Magic Wonder Spin","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67858","Monster Hunt","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67856","Scratch Alpaca Silver","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67854","Scratch Alpaca Gold","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67852","Scratch Alpaca Bronze","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67850","Merge Up","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67848","Mummy's Gold","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67844","Tramp Day","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67842","Gift X","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67840","Slot Machine","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67838","Ice Scratch Silver","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67836","Ice Scratch Gold","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67834","Ice Scratch Bronze","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67830","Hottest 666","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67828","Capymania Yellow","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67826","Capymania Orange","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67822","Wild Tiger","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67820","Keepers Of The Secret","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67818","God of Wealth Hold And Win","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67816","Wild Heart","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67814","Aztec Clusters","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67812","Pop Zen","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67808","Dragon's Crash","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67806","Diamond of Jungle","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67804","3 Kings Scratch","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67802","Lucky Dragon MultiDice X","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67800","OOF The Goldmine Planet","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67798","Luck & Magic Scratch","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67796","Chicken Rush","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67794","Panda Luck","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67792","Adventures","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67790","Gold of Minos","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67788","Fishing Club","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67786","Dragon Age Hold & Win (Dragon Age)","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67782","Aviamasters","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67780","Grand Patron","BGaming"
